date,sleepTime,bikeToHome,Cook,drinkWater,sad,events
2022/11/27,,,,,,
2022/11/28,,,,,,
2022/11/29,,,,,,
2022/11/30,,,,,,
2022/12/1,,,,,,
2022/12/2,,,,,,
2022/12/3,,,,,,
2022/12/4,,,,,,
2022/12/5,,,,,,
2022/12/6,,,,,,
2022/12/7,,,,,,
2022/12/8,,,,,,
2022/12/9,,,,,,
2022/12/10,,,,,,
2022/12/11,,,,,,
2022/12/12,,,,,,
2022/12/13,,,,,,
2022/12/14,,,,,,
2022/12/15,,,,,,
2022/12/16,,,,,,
2022/12/17,,,,,,
2022/12/18,,,,,,
2022/12/19,,,,,,
2022/12/20,,,,,,
2022/12/21,,,,,,
2022/12/22,,,,,,
2022/12/23,,,,,,
2022/12/24,,,,,,
2022/12/25,,,,,,
2022/12/26,,,,,,
2022/12/27,,,,,,
2022/12/28,,,,,,
2022/12/29,,,,,,
2022/12/30,,,,,,
2022/12/31,,,,,,
2023/1/1,,,,,,
2023/1/2,,,,,,
2023/1/3,,,,,,
2023/1/4,,,,,,
2023/1/5,,,,,,
2023/1/6,,,,,,
2023/1/7,,,,,,
2023/1/8,,,,,,
2023/1/9,,,,,,
2023/1/10,,,,,,
2023/1/11,,,,,,
2023/1/12,,,,,,
2023/1/13,,,,,,
2023/1/14,,,,,,
2023/1/15,,,,,,
2023/1/16,,,,,,
2023/1/17,,,,,,
2023/1/18,,,,,,
2023/1/19,,,,,,
2023/1/20,,,,,,
2023/1/21,,,,,,
2023/1/22,,,,,,
2023/1/23,,,,,,
2023/1/24,,,,,,
2023/1/25,,,,,,
2023/1/26,,,,,,
2023/1/27,,,,,,
2023/1/28,,,,,,
2023/1/29,,,,,,
2023/1/30,,,,,,
2023/1/31,,,,,,
2023/2/1,,,,,,
2023/2/2,,,,,,
2023/2/3,,,,,,
2023/2/4,,,,,,
2023/2/5,,,,,,
2023/2/6,,,,,,
2023/2/7,,,,,,
2023/2/8,,,,,,
2023/2/9,,,,,,
2023/2/10,,,,,,
2023/2/11,,,,,,
2023/2/12,,,,,,
2023/2/13,,,,,,
2023/2/14,,,,,,
2023/2/15,,,,,,
2023/2/16,,,,,,
2023/2/17,,,,,,
2023/2/18,,,,,,
2023/2/19,,,,,,
2023/2/20,,,,,,
2023/2/21,,,,,,
2023/2/22,,,,,,
2023/2/23,,,,,,
2023/2/24,,,,,,
2023/2/25,,,,,,
2023/2/26,,,,,,
2023/2/27,,,,,,
2023/2/28,,,,,,
2023/3/1,,,,,,
2023/3/2,,,,,,
2023/3/3,,,,,,
2023/3/4,,,,,,
2023/3/5,,,,,,
2023/3/6,,,,,,
2023/3/7,,,,,,
2023/3/8,,,,,,
2023/3/9,,,,,,
2023/3/10,,,,,,
2023/3/11,,,,,,
2023/3/12,,,,,,
2023/3/13,,,,,,
2023/3/14,,,,,,
2023/3/15,,,,,,
2023/3/16,,,,,,
2023/3/17,,,,,,
2023/3/18,,,,,,
2023/3/19,,,,,,
2023/3/20,,,,,,
2023/3/21,,,,,,
2023/3/22,,,,,,
2023/3/23,,,,,,
2023/3/24,,,,,,
2023/3/25,,,,,,
2023/3/26,,,,,,
2023/3/27,,,,,,
2023/3/28,,,,,,
2023/3/29,,,,,,
2023/3/30,,,,,,
2023/3/31,,,,,,
2023/4/1,,,,,,
2023/4/2,,,,,,
2023/4/3,,,,,,
2023/4/4,,,,,,
2023/4/5,,,,,,
2023/4/6,,,,,,
2023/4/7,,,,,,
2023/4/8,,,,,,
2023/4/9,,,,,,
2023/4/10,,,,,,
2023/4/11,,,,,,
2023/4/12,,,,,,
2023/4/13,,,,,,
2023/4/14,,,,,,
2023/4/15,,,,,,
2023/4/16,,,,,,
2023/4/17,,,,,,
2023/4/18,,,,,,
2023/4/19,,,,,,
2023/4/20,,,,,,
2023/4/21,,,,,,
2023/4/22,,,,,,
2023/4/23,,,,,,
2023/4/24,,,,,,
2023/4/25,,,,,,
2023/4/26,,18:35,,,,
2023/4/27,,18:24,,,,
2023/4/28,,18:49,,,,
2023/4/29,,,,,,
2023/4/30,,,,,,
2023/5/1,,,,,,
2023/5/2,,,,,,
2023/5/3,,,,,,
2023/5/4,,,,,,
2023/5/5,,,,,,
2023/5/6,,,,,,
2023/5/7,,,,,,
2023/5/8,,,,,,
2023/5/9,,,,,,
2023/5/10,,,,,,
2023/5/11,,,,,,
2023/5/12,,,,,,
2023/5/13,,,,,,
2023/5/14,,,,,,
2023/5/15,,,,,,
2023/5/16,,,,,,
2023/5/17,,,,,,
2023/5/18,,,,,,
2023/5/19,,,,,,
2023/5/20,,,,,,
2023/5/21,,,,,,
2023/5/22,,,,,,
2023/5/23,,,,,,
2023/5/24,,,,,,
2023/5/25,,,,,,
2023/5/26,,,,,,
2023/5/27,,,,,,
2023/5/28,,,,,,
2023/5/29,,,,,,
2023/5/30,,,,,,
2023/5/31,,,,,,
2023/6/1,,,,,,
2023/6/2,,,,,,
2023/6/3,,,,,,
2023/6/4,,,,,,
2023/6/5,,,,,,
2023/6/6,,,,,,
2023/6/7,,,,,,
2023/6/8,,,,,,
2023/6/9,,,,,,
2023/6/10,,,,,,
2023/6/11,,,,,,
2023/6/12,,,,,,
2023/6/13,,,,,,
2023/6/14,,,,,,
2023/6/15,,,,,,
2023/6/16,,,,,,
2023/6/17,,,,,,
2023/6/18,,,,,,
2023/6/19,,,,,,
2023/6/20,,,,,,
2023/6/21,,,,,,
2023/6/22,,,,,,
2023/6/23,,,,,,
2023/6/24,,,,,,
2023/6/25,,,,,,
2023/6/26,,,,,,
2023/6/27,,,,,,
2023/6/28,,,,,,
2023/6/29,,,,,,
2023/6/30,,,,,,
2023/7/1,,,,,,
2023/7/2,,,,,,
2023/7/3,,,,,,
2023/7/4,,,,,,
2023/7/5,,,,,,
2023/7/6,,,,,,
2023/7/7,,,,,,
2023/7/8,,,,,,
2023/7/9,,,,,,
2023/7/10,,,,,,
2023/7/11,,,,,,
2023/7/12,,,,,,
2023/7/13,,,,,,
2023/7/14,,,,,,
2023/7/15,,,,,,
2023/7/16,,,,,,
2023/7/17,,,,,,
2023/7/18,,,,,,
2023/7/19,,,,,,
2023/7/20,,,,,,
2023/7/21,,,,,,
2023/7/22,,,,,,
2023/7/23,,,,,,
2023/7/24,,,,,,
2023/7/25,,,,,,
2023/7/26,,,,,,
2023/7/27,,,,,,
2023/7/28,,,,,,
2023/7/29,,,,,,
2023/7/30,,,,,,
2023/7/31,,,,,,
2023/8/1,,,,,,
2023/8/2,,,,,,
2023/8/3,,,,,,
2023/8/4,,,,,,
2023/8/5,,,,,,
2023/8/6,,,,,,
2023/8/7,,,,,,
2023/8/8,,,,,,
2023/8/9,,,,,,
2023/8/10,,,,,,
2023/8/11,,,,,,
2023/8/12,,,,,,
2023/8/13,,,,,,
2023/8/14,,,,,,
2023/8/15,,,,,,
2023/8/16,,,,,,
2023/8/17,,,,,,
2023/8/18,,,,,,
2023/8/19,,,,,,
2023/8/20,,,,,,
2023/8/21,,,,,,
2023/8/22,,,,,,
2023/8/23,,,,,,
2023/8/24,,,,,,
2023/8/25,,,,,,
2023/8/26,,,,,,
2023/8/27,,,,,,
2023/8/28,,,,,,
2023/8/29,,,,,,
2023/8/30,,,,,,
2023/8/31,,,,,,
2023/9/1,,,,,,
2023/9/2,,,,,,
2023/9/3,,,,,,
2023/9/4,,,,,,
2023/9/5,,,,,,
2023/9/6,,,,,,
2023/9/7,,,,,,
2023/9/8,,,,,,
2023/9/9,,,,,,
2023/9/10,,,,,,
2023/9/11,,,,,,
2023/9/12,,,,,,
2023/9/13,,,,,,
2023/9/14,,,,,,
2023/9/15,,,,,,
2023/9/16,,,,,,
2023/9/17,,,,,,
2023/9/18,,,,,,
2023/9/19,,,,,,
2023/9/20,,,,,,
2023/9/21,,,,,,
2023/9/22,,,,,,
2023/9/23,,,,,,
2023/9/24,,,,,,
2023/9/25,,,,,,开始部署搭建 obsidian环境
2023/9/26,,,,,,把obsidian 项目搭建到 GitHub，并修改网站颜色和字体，完成更新时间自动修复。;;;开始记日记;;;失眠
2023/9/27,,,,,,花 2800 买了一个realme gt neo5 16g 1T;;;
2023/9/28,,,,,,
2023/9/29,,,,,,安装插件接入chatGPT;;;增加字数统计 countWords(同 word 字数)
2023/9/30,,,,,,退掉 neo5，买 neo 5 SE（花了2100）
2023/10/1,,,,,,
2023/10/2,,,,,,买了一个99元一年的碎屏险
2023/10/3,,,,,,
2023/10/4,,,,,,增加文章数量统计
2023/10/5,,,,,,
2023/10/6,,,,,,
2023/10/7,,,,,,
2023/10/8,,,,,,
2023/10/9,,,,,,"带饭的玻璃碗在微波炉里裂开了,退了 8.5;;;_index.md(首页) 补充一些语录;;;日志的文件 _index.md(首页) → 日志.md(列表下);;;新增稿 技术记录, 并将每个问题记录文件改为添加到该文件中的 3 级标题下"
2023/10/10,,,,,,找到如何修改首页的方法了，明天再改过去。;;;时间格式化完成， 模仿 微博 格式 (秒级别的还没改)
2023/10/11,,,,,,运动打球一次;;;确定首页展示内容，包括 万物皆有定数 和 首页美景
2023/10/12,,,,,,"新增第三行内容(原第三行成第四行), 确定所有文章的字数之和;;;写完了第一行内容: 时间段确定,判断早中晚\上下班确定,判断离上下班有多久时间 \ 离本周与本月有多久"
2023/10/13,,,,,,"买了个 apple music 的家庭会员, 效果还不错, 但是有一些歌没有"
2023/10/14,,,,,,把 小米9 刷成 miui13了
2023/10/15,,,,,,"统一颜色 color-light;;;code 代码块更改: 文本折行 \ 高亮 \ 字体和大小;;;把 neo 5 SE 解开 bl, 获取 root 了, 差点成砖."
2023/10/16,23;7,,,,,
2023/10/17,,,,,,
2023/10/18,,,,,,
2023/10/19,,,,,,
2023/10/20,,,,,,
2023/10/21,,,,,,
2023/10/22,,,,,,
2023/10/23,,,,,,
2023/10/24,,,,,,
2023/10/25,,,,,,
2023/10/26,,,,,,
2023/10/27,,,,,,
2023/10/28,,,,,,
2023/10/29,,,,,,
2023/10/30,,,,,,
2023/10/31,,,,,,
2023/11/1,,,,,,
2023/11/2,,,,,,
2023/11/3,,,,,,
2023/11/4,,,,,,
2023/11/5,,,,,,
2023/11/6,23;7,,,3,,
2023/11/7,,,牛肉+煎蛋,,,新增myData.csv;;;HttpCanary抓包微信支付和美团共享单车
2023/11/8,,,,,,
2023/11/9,,,,,,
2023/11/10,,,,,,
2023/11/11,,,,,,
2023/11/12,,,,,,
2023/11/13,,,,,,
2023/11/14,,,,,,
2023/11/15,,,,,,
2023/11/16,,,,,,
2023/11/17,,,,,,
2023/11/18,,,,,,
2023/11/19,,,,,,
2023/11/20,,,,,,
2023/11/21,,,,,,
2023/11/22,,,,,,
2023/11/23,,,,,,
2023/11/24,,,,,,
2023/11/25,,,,,,
2023/11/26,,,,,,
2023/11/27,,,,,,
2023/11/28,,,,,,
2023/11/29,,,,,,
2023/11/30,,,,,,
2023/12/1,,,,,,
2023/12/2,,,,,,
2023/12/3,,,,,,
2023/12/4,,,,,,
